method,scenario,episode,traffic_seed,espera_media_s,espera_p95_s,espera_max_s,fila_maxima,throughput,tempo_viagem_medio_s,espera_media_avenida_s,espera_media_local_s,n_veiculos,dqn_seed,metodo
dqn,pico_assimetrico,1,10001,176.41875981161695,555.3000000000002,984.0,213.0,2333,289.96228032576084,129.71589882565493,486.0,2548,123,especialista
dqn,pico_assimetrico,2,10002,183.33333333333334,541.0,788.0,218.0,2302,301.6824500434405,136.8049006010171,475.0463768115942,2508,123,especialista
dqn,pico_assimetrico,3,10003,162.35453160700686,506.75,928.0,220.0,2395,280.68100208768266,118.452,425.0691489361702,2626,123,especialista
dqn,pico_assimetrico,4,10004,162.01147151898735,491.6500000000001,706.0,204.0,2309,286.35513209181465,120.1689284043051,390.7007672634271,2528,123,especialista
dqn,pico_assimetrico,5,10005,177.5879983890455,562.6000000000004,946.0,218.0,2264,292.20318021201416,129.8515735086895,464.680790960452,2483,123,especialista
dqn,pico_assimetrico,6,10006,175.34032634032633,511.0,859.0,210.0,2362,289.6888230313294,130.59811405478223,462.4899135446686,2574,123,especialista
dqn,pico_assimetrico,7,10007,167.48214285714286,534.0,1218.0,218.0,2342,288.57643040136634,120.06398210290828,478.27272727272725,2576,123,especialista
dqn,pico_assimetrico,8,10008,167.74713098535813,547.6999999999998,799.0,212.0,2312,285.7967128027682,123.27255900046275,430.3415300546448,2527,123,especialista
dqn,pico_assimetrico,9,10009,180.9987735077678,605.5,815.0,219.0,2225,291.5901123595506,131.15604186489057,485.5610465116279,2446,123,especialista
dqn,pico_assimetrico,10,10010,171.48006379585328,536.6000000000004,864.0,200.0,2280,294.83201754385965,124.74756831866605,460.5787965616046,2508,123,especialista
dqn,pico_assimetrico,11,10011,169.6383910792513,534.5,887.0,219.0,2301,287.5310734463277,123.22155132373432,448.7877094972067,2511,123,especialista
dqn,pico_assimetrico,12,10012,159.49172489885987,454.2999999999997,669.0,221.0,2503,269.8294047143428,117.38091143594153,408.72773536895676,2719,123,especialista
dqn,pico_assimetrico,13,10013,199.43474611833824,611.9000000000001,915.0,219.0,2159,318.2348309402501,146.95912408759125,528.2073170731708,2383,123,especialista
dqn,pico_assimetrico,14,10014,172.449821499405,524.0,980.0,228.0,2299,294.4219225750326,126.86483975847655,439.1467391304348,2521,123,especialista
dqn,pico_assimetrico,15,10015,175.78687228153422,550.5999999999999,732.0,207.0,2303,292.17021276595744,128.4149377593361,461.2027777777778,2529,123,especialista
dqn,pico_assimetrico,16,10016,175.80047789725208,515.5,861.0,223.0,2276,300.0927065026362,132.86439888164026,428.241095890411,2511,123,especialista
dqn,pico_assimetrico,17,10017,164.64143126177024,478.59999999999945,806.0,207.0,2420,285.21280991735534,120.86379613356766,427.5382585751979,2655,123,especialista
dqn,pico_assimetrico,18,10018,163.11944869831547,494.4499999999998,802.0,210.0,2391,278.5135926390632,119.93680462839342,428.958904109589,2612,123,especialista
