method,scenario,episode,traffic_seed,espera_media_s,espera_p95_s,espera_max_s,fila_maxima,throughput,tempo_viagem_medio_s,espera_media_avenida_s,espera_media_local_s,n_veiculos,dqn_seed
atuado_gap,pico_assimetrico,15,10015,261.6026119402985,851.0,1567.0,245.0,1912,333.842050209205,194.8993074054342,730.5243445692884,2144,
atuado_gap,pico_assimetrico,16,10016,260.14239482200645,774.5000000000005,1583.0,245.0,1914,340.00261233019853,202.6370409792443,640.6091549295775,2163,
atuado_gap,pico_assimetrico,17,10017,260.3024101864484,729.3999999999996,1589.0,244.0,1970,342.5406091370558,202.13853503184714,608.1777777777778,2199,
atuado_gap,pico_assimetrico,18,10018,270.89560699102503,932.9999999999982,2229.0,240.0,1887,354.1192368839428,198.75264270613107,877.5377777777778,2117,
atuado_gap,pico_assimetrico,19,10019,263.56356736242884,816.6499999999999,1321.0,238.0,1896,341.77742616033754,198.75587110868378,691.9494584837545,2108,
max_pressure,pico_assimetrico,0,10000,258.82861124013004,3008.3999999999996,3574.0,199.0,1914,181.53918495297805,157.2714628297362,3372.75,2153,
max_pressure,pico_assimetrico,1,10001,260.2992700729927,3110.1499999999987,3533.0,216.0,1946,177.55652620760534,162.4702268431002,2984.065789473684,2192,
max_pressure,pico_assimetrico,2,10002,275.8871260199456,3151.75,3571.0,207.0,1932,190.94616977225672,171.12099811676083,2989.5853658536585,2206,
max_pressure,pico_assimetrico,3,10003,276.55489205328433,3177.5999999999995,3577.0,233.0,1927,189.3757135443695,170.06193425440685,3142.3076923076924,2177,
max_pressure,pico_assimetrico,4,10004,274.98087686567163,3128.399999999998,3574.0,226.0,1881,185.11589580010633,173.78550583657588,2639.2727272727275,2144,
max_pressure,pico_assimetrico,5,10005,261.1650045330916,3146.75,3574.0,227.0,1966,176.1739572736521,164.70174610665407,2610.655172413793,2206,
max_pressure,pico_assimetrico,6,10006,264.66887730933206,3127.0,3572.0,219.0,1879,169.31985098456627,171.67980295566502,2595.135802469136,2111,
max_pressure,pico_assimetrico,7,10007,243.81522707034728,2980.75,3540.0,212.0,2013,167.34078489816196,154.24613944782405,1999.8623853211009,2246,
max_pressure,pico_assimetrico,8,10008,265.0245711636532,3082.999999999998,3555.0,219.0,1906,179.3635886673662,165.83646888567293,2712.845238095238,2157,
max_pressure,pico_assimetrico,9,10009,274.8934579439252,3111.2,3577.0,220.0,1882,187.71838469713072,172.61542215714982,2577.835164835165,2140,
max_pressure,pico_assimetrico,10,10010,263.837390904915,3087.3999999999996,3577.0,218.0,1936,179.75413223140495,165.77783086478738,2707.154761904762,2177,
max_pressure,pico_assimetrico,11,10011,252.97802197802199,3131.85,3576.0,200.0,1947,167.56651258346173,160.26315789473685,2860.12,2184,
max_pressure,pico_assimetrico,12,10012,272.48339483394835,3175.2500000000005,3557.0,223.0,1914,185.23406478578892,169.02246653919693,3120.3815789473683,2168,
max_pressure,pico_assimetrico,13,10013,276.113416988417,3187.45,3572.0,224.0,1830,183.9551912568306,172.7973040439341,3275.2753623188405,2072,
max_pressure,pico_assimetrico,14,10014,267.6318245450303,3067.9999999999986,3566.0,209.0,1898,175.88830347734458,170.77966101694915,2831.730769230769,2143,
max_pressure,pico_assimetrico,15,10015,267.688323489323,3111.0,3541.0,223.0,1936,184.67561983471074,165.45823501651722,2909.4634146341464,2201,
max_pressure,pico_assimetrico,16,10016,269.90649836372137,3092.2,3559.0,210.0,1888,180.45603813559322,172.04046806435886,2550.8522727272725,2139,
max_pressure,pico_assimetrico,17,10017,262.7224247948952,3078.3999999999996,3578.0,219.0,1950,178.55897435897435,163.22065063649222,3153.72602739726,2194,
max_pressure,pico_assimetrico,18,10018,263.3633940470902,3120.5,3570.0,213.0,1995,181.79348370927318,162.3331801470588,3194.5866666666666,2251,
max_pressure,pico_assimetrico,19,10019,277.6313559322034,3122.85,3576.0,220.0,1859,188.4610005379236,172.78515625,3102.9605263157896,2124,
dqn,pico_assimetrico,0,10000,184.59158521036974,428.0,589.0,214.0,2126,317.085136406397,148.6931877275091,345.13255813953486,2353,7
dqn,pico_assimetrico,1,10001,185.24802986312733,454.0,685.0,221.0,2189,312.88853357697576,147.44449950445986,379.36386768447835,2411,7
dqn,pico_assimetrico,2,10002,199.77611940298507,494.1500000000001,921.0,224.0,2065,330.17046004842615,153.30769230769232,452.3333333333333,2278,7
dqn,pico_assimetrico,3,10003,192.6673588039867,402.0,638.0,219.0,2168,322.604704797048,161.5142421159715,331.2352941176471,2408,7
dqn,pico_assimetrico,4,10004,177.582580115037,432.3499999999999,654.0,215.0,2190,308.9821917808219,142.87574552683895,343.0568720379147,2434,7
dqn,pico_assimetrico,5,10005,203.21719038817005,515.2499999999995,1027.0,213.0,1938,342.36480908152737,156.89461883408072,420.68947368421055,2164,7
dqn,pico_assimetrico,6,10006,190.26304533789565,448.1500000000001,656.0,221.0,2117,332.4227680680208,153.9284603421462,361.63080684596576,2338,7
